型号,系列,分辨率,像元(μm),像元来源,焦距(mm),焦距原始,工作距离(mm),传感器宽(mm),传感器高(mm),视野宽(mm),视野高(mm),单像素精度(mm),备注
MV-SC2016EC-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,200,4.858,3.533,121.44,88.32,0.0863,
MV-SC2016EC-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,300,4.858,3.533,182.16,132.48,0.1294,
MV-SC2016EC-08S-WBN,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,500,4.858,3.533,303.6,220.8,0.2156,
MV-SC2016EC-08S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,50,4.858,3.533,30.36,22.08,0.0216,
MV-SC2016EC-08S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,100,4.858,3.533,60.72,44.16,0.0431,
MV-SC2016EC-08S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,150,4.858,3.533,91.08,66.24,0.0647,
MV-SC2016EC-08S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,200,4.858,3.533,121.44,88.32,0.0863,
MV-SC2016EC-08S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,300,4.858,3.533,182.16,132.48,0.1294,
MV-SC2016EC-08S-WBN-S,SC2000进阶,1408×1024,3.45,推测*,8.0,8mm,500,4.858,3.533,303.6,220.8,0.2156,
MV-SC2016EC-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,50,4.858,3.533,19.59,14.25,0.0139,
MV-SC2016EC-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,100,4.858,3.533,39.17,28.49,0.0278,
MV-SC2016EC-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,150,4.858,3.533,58.76,42.74,0.0417,
MV-SC2016EC-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,200,4.858,3.533,78.35,56.98,0.0556,
MV-SC2016EC-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,300,4.858,3.533,117.52,85.47,0.0835,
MV-SC2016EC-12S-WBN,SC2000进阶,1408×1024,3.45,推测*,12.4,12.4mm,500,4.858,3.533,195.87,142.45,0.1391,
MV-SC2016EC-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,50,4.858,3.533,16.41,11.94,0.0117,
MV-SC2016EC-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,100,4.858,3.533,32.82,23.87,0.0233,
MV-SC2016EC-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,150,4.858,3.533,49.23,35.81,0.035,
MV-SC2016EC-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,200,4.858,3.533,65.64,47.74,0.0466,
MV-SC2016EC-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,300,4.858,3.533,98.46,71.61,0.0699,
MV-SC2016EC-15S-WBN,SC2000进阶,1408×1024,3.45,推测*,14.8,14.8mm,500,4.858,3.533,164.11,119.35,0.1166,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,50,3.968,3.174,39.68,31.74,0.031,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,100,3.968,3.174,79.36,63.49,0.062,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,150,3.968,3.174,119.04,95.23,0.093,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,200,3.968,3.174,158.72,126.98,0.124,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,300,3.968,3.174,238.08,190.46,0.186,
MV-SC2013XC-05M-WBN,SC2000X AI,1280×1024,3.1,推测*,5.0,5mm,500,3.968,3.174,396.8,317.44,0.31,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,50,3.968,3.174,16.53,13.23,0.0129,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,100,3.968,3.174,33.07,26.45,0.0258,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,150,3.968,3.174,49.6,39.68,0.0387,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,200,3.968,3.174,66.13,52.91,0.0517,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,300,3.968,3.174,99.2,79.36,0.0775,
MV-SC2013XM-12M-WBN,SC2000X AI,1280×1024,3.1,推测*,12.0,12mm,500,3.968,3.174,165.33,132.27,0.1292,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,50,5.76,3.84,57.6,38.4,0.03,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,100,5.76,3.84,115.2,76.8,0.06,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,150,5.76,3.84,172.8,115.2,0.09,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,200,5.76,3.84,230.4,153.6,0.12,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,300,5.76,3.84,345.6,230.4,0.18,
MV-SC2023XC-05M-WBN,SC2000X AI,1920×1280,3.0,推测*,5.0,5mm,500,5.76,3.84,576.0,384.0,0.3,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,50,5.76,3.84,24.0,16.0,0.0125,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,100,5.76,3.84,48.0,32.0,0.025,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,150,5.76,3.84,72.0,48.0,0.0375,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,200,5.76,3.84,96.0,64.0,0.05,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,300,5.76,3.84,144.0,96.0,0.075,
MV-SC2023XC-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,500,5.76,3.84,240.0,160.0,0.125,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,50,5.76,3.84,24.0,16.0,0.0125,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,100,5.76,3.84,48.0,32.0,0.025,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,150,5.76,3.84,72.0,48.0,0.0375,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,200,5.76,3.84,96.0,64.0,0.05,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,300,5.76,3.84,144.0,96.0,0.075,
MV-SC2023XM-12M-WBN,SC2000X AI,1920×1280,3.0,推测*,12.0,12mm,500,5.76,3.84,240.0,160.0,0.125,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,50,5.76,3.84,18.0,12.0,0.0094,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,100,5.76,3.84,36.0,24.0,0.0187,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,150,5.76,3.84,54.0,36.0,0.0281,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,200,5.76,3.84,72.0,48.0,0.0375,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,300,5.76,3.84,108.0,72.0,0.0563,
MV-SC2023XC-16M-WBN,SC2000X AI,1920×1280,3.0,推测*,16.0,16mm,500,5.76,3.84,180.0,120.0,0.0938,
MV-SC3013XC-05M-MED,SC3000高性能,1216×1024,3.45,规格书,5.0,5mm,50,4.195,3.533,41.95,35.33,0.0345,
MV-SC3013XC-05M-MED,SC3000高性能,1216×1024,3.45,规格书,5.0,5mm,100,4.195,3.533,83.9,70.66,0.069,
MV-SC3013XC-05M-MED,SC3000高性能,1216×1024,3.45,规格书,5.0,5mm,150,4.195,3.533,125.86,105.98,0.1035,
MV-SC3013XC-05M-MED,SC3000高性能,1216×1024,3.45,规格书,5.0,5mm,200,4.195,3.533,167.81,141.31,0.138,
MV-SC3013XC-05M-MED,SC3000高性能,1216×1024,3.45,规格书,5.0,5mm,300,4.195,3.533,251.71,211.97,0.207,
MV-SC3013XC-05M-MED,SC3000高性能,1216×1024,3.45,规格书,5.0,5mm,500,4.195,3.533,419.52,353.28,0.345,
MV-SC3013XC-06M-MED,SC3000高性能,1216×1024,3.45,规格书,6.0,6mm,50,4.195,3.533,34.96,29.44,0.0288,
MV-SC3013XC-06M-MED,SC3000高性能,1216×1024,3.45,规格书,6.0,6mm,100,4.195,3.533,69.92,58.88,0.0575,
MV-SC3013XC-06M-MED,SC3000高性能,1216×1024,3.45,规格书,6.0,6mm,150,4.195,3.533,104.88,88.32,0.0862,
MV-SC3013XC-06M-MED,SC3000高性能,1216×1024,3.45,规格书,6.0,6mm,200,4.195,3.533,139.84,117.76,0.115,
MV-SC3013XC-06M-MED,SC3000高性能,1216×1024,3.45,规格书,6.0,6mm,300,4.195,3.533,209.76,176.64,0.1725,
MV-SC3013XC-06M-MED,SC3000高性能,1216×1024,3.45,规格书,6.0,6mm,500,4.195,3.533,349.6,294.4,0.2875,
MV-SC3013XM-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,50,4.195,3.533,26.22,22.08,0.0216,
MV-SC3013XM-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,100,4.195,3.533,52.44,44.16,0.0431,
MV-SC3013XM-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,150,4.195,3.533,78.66,66.24,0.0647,
MV-SC3013XM-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,200,4.195,3.533,104.88,88.32,0.0862,
MV-SC3013XM-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,300,4.195,3.533,157.32,132.48,0.1294,
MV-SC3013XM-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,500,4.195,3.533,262.2,220.8,0.2156,
MV-SC3013XC-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,50,4.195,3.533,26.22,22.08,0.0216,
MV-SC3013XC-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,100,4.195,3.533,52.44,44.16,0.0431,
MV-SC3013XC-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,150,4.195,3.533,78.66,66.24,0.0647,
MV-SC3013XC-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,200,4.195,3.533,104.88,88.32,0.0862,
MV-SC3013XC-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,300,4.195,3.533,157.32,132.48,0.1294,
MV-SC3013XC-08M-WBN,SC3000高性能,1216×1024,3.45,规格书,8.0,8mm,500,4.195,3.533,262.2,220.8,0.2156,
MV-SC3013XM-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,50,4.195,3.533,17.48,14.72,0.0144,
MV-SC3013XM-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,100,4.195,3.533,34.96,29.44,0.0288,
MV-SC3013XM-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,150,4.195,3.533,52.44,44.16,0.0431,
MV-SC3013XM-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,200,4.195,3.533,69.92,58.88,0.0575,
MV-SC3013XM-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,300,4.195,3.533,104.88,88.32,0.0862,
MV-SC3013XM-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,500,4.195,3.533,174.8,147.2,0.1437,
MV-SC3013XC-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,50,4.195,3.533,17.48,14.72,0.0144,
MV-SC3013XC-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,100,4.195,3.533,34.96,29.44,0.0288,
MV-SC3013XC-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,150,4.195,3.533,52.44,44.16,0.0431,
MV-SC3013XC-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,200,4.195,3.533,69.92,58.88,0.0575,
MV-SC3013XC-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,300,4.195,3.533,104.88,88.32,0.0862,
MV-SC3013XC-12M-WBN,SC3000高性能,1216×1024,3.45,规格书,12.0,12mm,500,4.195,3.533,174.8,147.2,0.1437,
MV-SC3013XM-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,50,4.195,3.533,13.11,11.04,0.0108,
MV-SC3013XM-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,100,4.195,3.533,26.22,22.08,0.0216,
MV-SC3013XM-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,150,4.195,3.533,39.33,33.12,0.0323,
MV-SC3013XM-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,200,4.195,3.533,52.44,44.16,0.0431,
MV-SC3013XM-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,300,4.195,3.533,78.66,66.24,0.0647,
MV-SC3013XM-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,500,4.195,3.533,131.1,110.4,0.1078,
MV-SC3013XC-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,50,4.195,3.533,13.11,11.04,0.0108,
MV-SC3013XC-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,100,4.195,3.533,26.22,22.08,0.0216,
MV-SC3013XC-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,150,4.195,3.533,39.33,33.12,0.0323,
MV-SC3013XC-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,200,4.195,3.533,52.44,44.16,0.0431,
MV-SC3013XC-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,300,4.195,3.533,78.66,66.24,0.0647,
MV-SC3013XC-16M-WBN,SC3000高性能,1216×1024,3.45,规格书,16.0,16mm,500,4.195,3.533,131.1,110.4,0.1078,
MV-SC3016M-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,50,4.858,3.533,40.48,29.44,0.0288,
MV-SC3016M-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,100,4.858,3.533,80.96,58.88,0.0575,
MV-SC3016M-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,150,4.858,3.533,121.44,88.32,0.0863,
MV-SC3016M-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,200,4.858,3.533,161.92,117.76,0.115,
MV-SC3016M-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,300,4.858,3.533,242.88,176.64,0.1725,
MV-SC3016M-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,500,4.858,3.533,404.8,294.4,0.2875,
MV-SC3016C-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,50,4.858,3.533,40.48,29.44,0.0288,
MV-SC3016C-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,100,4.858,3.533,80.96,58.88,0.0575,
MV-SC3016C-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,150,4.858,3.533,121.44,88.32,0.0863,
MV-SC3016C-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,200,4.858,3.533,161.92,117.76,0.115,
MV-SC3016C-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,300,4.858,3.533,242.88,176.64,0.1725,
MV-SC3016C-06M-WBN,SC3000高性能,1408×1024,3.45,推测*,6.0,6mm,500,4.858,3.533,404.8,294.4,0.2875,
MV-SC3016M-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,50,4.858,3.533,20.24,14.72,0.0144,
MV-SC3016M-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,100,4.858,3.533,40.48,29.44,0.0288,
MV-SC3016M-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,150,4.858,3.533,60.72,44.16,0.0431,
MV-SC3016M-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,200,4.858,3.533,80.96,58.88,0.0575,
MV-SC3016M-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,300,4.858,3.533,121.44,88.32,0.0863,
MV-SC3016M-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,500,4.858,3.533,202.4,147.2,0.1438,
MV-SC3016C-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,50,4.858,3.533,20.24,14.72,0.0144,
MV-SC3016C-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,100,4.858,3.533,40.48,29.44,0.0288,
MV-SC3016C-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,150,4.858,3.533,60.72,44.16,0.0431,
MV-SC3016C-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,200,4.858,3.533,80.96,58.88,0.0575,
MV-SC3016C-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,300,4.858,3.533,121.44,88.32,0.0863,
MV-SC3016C-12M-WBN,SC3000高性能,1408×1024,3.45,推测*,12.0,12mm,500,4.858,3.533,202.4,147.2,0.1438,
MV-SC3016M-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,50,4.858,3.533,16.41,11.94,0.0117,
MV-SC3016M-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,100,4.858,3.533,32.82,23.87,0.0233,
MV-SC3016M-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,150,4.858,3.533,49.23,35.81,0.035,
MV-SC3016M-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,200,4.858,3.533,65.64,47.74,0.0466,
MV-SC3016M-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,300,4.858,3.533,98.46,71.61,0.0699,
MV-SC3016M-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,500,4.858,3.533,164.11,119.35,0.1166,
MV-SC3016C-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,50,4.858,3.533,16.41,11.94,0.0117,
MV-SC3016C-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,100,4.858,3.533,32.82,23.87,0.0233,
MV-SC3016C-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,150,4.858,3.533,49.23,35.81,0.035,
MV-SC3016C-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,200,4.858,3.533,65.64,47.74,0.0466,
MV-SC3016C-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,300,4.858,3.533,98.46,71.61,0.0699,
MV-SC3016C-15M-WBN,SC3000高性能,1408×1024,3.45,推测*,14.8,14.8mm,500,4.858,3.533,164.11,119.35,0.1166,
MV-SC3020XM-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,50,5.299,4.361,33.12,27.26,0.0216,
MV-SC3020XM-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,100,5.299,4.361,66.24,54.51,0.0431,
MV-SC3020XM-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,150,5.299,4.361,99.36,81.77,0.0647,
MV-SC3020XM-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,200,5.299,4.361,132.48,109.02,0.0863,
MV-SC3020XM-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,300,5.299,4.361,198.72,163.53,0.1294,
MV-SC3020XM-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,500,5.299,4.361,331.2,272.55,0.2156,
MV-SC3020XM-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,50,5.299,4.361,22.08,18.17,0.0144,
MV-SC3020XM-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,100,5.299,4.361,44.16,36.34,0.0288,
MV-SC3020XM-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,150,5.299,4.361,66.24,54.51,0.0431,
MV-SC3020XM-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,200,5.299,4.361,88.32,72.68,0.0575,
MV-SC3020XM-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,300,5.299,4.361,132.48,109.02,0.0863,
MV-SC3020XM-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,500,5.299,4.361,220.8,181.7,0.1438,
MV-SC3020XM-16M-WBN,SC3000高性能,1536×1264,3.45,推测*,16.0,16mm,50,5.299,4.361,16.56,13.63,0.0108,
MV-SC3020XM-16M-WBN,SC3000高性能,1536×1264,3.45,推测*,16.0,16mm,100,5.299,4.361,33.12,27.26,0.0216,
MV-SC3020XM-16M-WBN,SC3000高性能,1536×1264,3.45,推测*,16.0,16mm,150,5.299,4.361,49.68,40.88,0.0323,
MV-SC3020XM-16M-WBN,SC3000高性能,1536×1264,3.45,推测*,16.0,16mm,200,5.299,4.361,66.24,54.51,0.0431,
MV-SC3020XM-16M-WBN,SC3000高性能,1536×1264,3.45,推测*,16.0,16mm,300,5.299,4.361,99.36,81.77,0.0647,
MV-SC3020XM-16M-WBN,SC3000高性能,1536×1264,3.45,推测*,16.0,16mm,500,5.299,4.361,165.6,136.28,0.1078,
MV-SC3020XC-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,50,5.299,4.361,33.12,27.26,0.0216,
MV-SC3020XC-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,100,5.299,4.361,66.24,54.51,0.0431,
MV-SC3020XC-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,150,5.299,4.361,99.36,81.77,0.0647,
MV-SC3020XC-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,200,5.299,4.361,132.48,109.02,0.0863,
MV-SC3020XC-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,300,5.299,4.361,198.72,163.53,0.1294,
MV-SC3020XC-08M-WBN,SC3000高性能,1536×1264,3.45,推测*,8.0,8mm,500,5.299,4.361,331.2,272.55,0.2156,
MV-SC3020XC-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,50,5.299,4.361,22.08,18.17,0.0144,
MV-SC3020XC-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,100,5.299,4.361,44.16,36.34,0.0288,
MV-SC3020XC-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,150,5.299,4.361,66.24,54.51,0.0431,
MV-SC3020XC-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,200,5.299,4.361,88.32,72.68,0.0575,
MV-SC3020XC-12M-WBN,SC3000高性能,1536×1264,3.45,推测*,12.0,12mm,300,5.299,4.361,132.48,109.02,0.0863,
